小米集团涨幅扩大至10%，单日市值净增260亿港元,Parataxis
游戏业务发力，腾讯一季度收入同比增长26%至1081亿元,Causality
恒指反弹浪现似整固，留意强势股吸纳良机,Other
货币资金略降2.25%，缺口扩大至133.26亿元,Contrast
中海油升近2%，获麦格理升目标,Causality
九兴控股扬近4%，获大和吁买入并升目标价,Causality
体育用品股下跌，安踏绩前下跌1%,Phenomenon-Instance
福森药业5月22日回购120万股，耗资420万港币,Causality
手机设备股领涨蓝筹，瑞声科技涨逾4%,Phenomenon-Instance
中国太保升逾1%，银保监会同意发行GDR,Causality
中石油跌逾1%，连跌三日,Parataxis
百威亚太急跌近6%，惟首三季多赚约半成,Contrast
东京中央拍卖跌逾13%，创上市新低,Supplement
金山办公科创板IPO即将上会，金山软件涨逾4%,Causality
堡狮龙续涨逾8%，惟料首10月亏损近2亿元,Parataxis
吉利汽车重申买入评级，维持目标价16港元,Parataxis
港股恒指微涨0.01%，联想控股涨9%,Phenomenon-Instance
浦发下半年或收缩房贷业务，拟新发500亿永续债,Inference
赛晶电力电子10月31日耗资13.7万港元，回购12.6万股,Parataxis
港股低开244点，报24358点,Supplement
恒指微跌0.14%，万洲国际跌4%,Phenomenon-Instance
佳兆业设双首席财务官架构，或为扩大融资需求冲击千亿,Inference
兖州煤业5月19日回购200万股，耗资1260万港币,Causality
重型机械股普遍造好，中国重汽上涨4%,Phenomenon-Instance
领展微升不足1%，惟遭多间行出货,Contrast
港股恒指高开0.15%，SOHO中国跌0.74%,Contrast
小米Q3IoT与生活消费产品收入156亿元，同比增44.4%,Supplement
九毛九大涨近7%，广发证券估值具备吸引力,Other
创科实业升逾3%，创上市新高,Supplement
美团逆市急升逾6%，中期亏损大幅收窄至逾5亿元,Parataxis
协合新能源5月8日回购62万股，耗资19万港币,Causality
美团暴涨逾5%，市值突破9000亿港元,Parataxis
建禹集团上升130%，暂为升幅最大个股,Parataxis
WINGONCO5月4日回购1万股，耗资28万港币,Causality
1药网第二季度营收为8.382亿元，同比增长109%,Supplement
沪指周涨1.23%，纳指四连升,Other
中国智能健康5月28日回购40万股，耗资1万港币,Causality
富力地产4月权益合约销售总金额约为92.2亿，环比增15%,Supplement
信德集团跌逾6%，澳博控股跌近2%,Other
李小加曾任职摩根大通，主导互联互通和港交所IPO新规,Parataxis
吉利汽车表现低于预期，营收销量分别同比减11%及15%,Parataxis
雷士照明大涨71%，拟逾55亿出售中国业务70%股权,Inference
融创高点再套现逾21亿，总落袋超68亿,Parataxis
融创中国升近10%，创1个月新高,Supplement
福莱特玻璃上升3%，全国中期光伏发电装机增两成,Other
微创医疗暂七连升，累涨32%,Degree
油股普跌，中海油现跌3%,Phenomenon-Instance
大生农业金融去年全年度亏损14.4亿人民币，不派息,Parataxis
上证综指上扬，升逾1%,Degree
腾讯反弹逾2%，两新游戏获批,Causality
美团市值突破9000亿港元，上周五MSCI资金涌入,Parataxis
比亚迪电子走低逾4%，暂七连跌,Parataxis
消费股集体走低，波司登跌5%,Phenomenon-Instance
李宁获大华继显升评级及目标价，惟逆市跌逾2%,Contrast
信和置业跌近10%，创1个月新低,Supplement
英国劳动力市场保持强劲，但压力迹象隐现,Contrast
精熙国际5月22日回购7万股，耗资4万港币,Causality
北京新发地疫情发酵，呷哺呷哺大跌8%,Causality
高盛下调国泰航空至沽售评级，降目标价至7.6港元,Parataxis
希慎兴业跌逾2%，今派业绩太地反弹,Contrast
降景区票价，支持文旅消费信贷,Other
拍拍贷第二季度营收15.623亿元，同比增长46.6%,Supplement
国瑞置业跌逾3%，创上市新低,Supplement
康宁医院急跌21%，半年多赚24%,Parataxis
渣打集团扬近4%，暂四连升,Parataxis
金沙中国现价跌近1%，惟中期多赚9%,Contrast
恒指短期或上试24000点，网易招股惹关注,Inference
中信证券下跌4.79%，暂为最差国指股,Parataxis
医疗设备股随市下跌，爱康医疗下跌7%,Phenomenon-Instance
世纪集团飙逾37.25%，配股集资3409万元,Parataxis
东方教育涨近3%，创上市新高,Supplement
港股恒指涨幅收窄至0.17%，中金公司盘初跌1%,Phenomenon-Instance
蒙古能源升近55%，创1个月新高,Supplement
