美团点评目标价为152.6港元，维持买入评级,Parataxis
丘钛科技急涨逾6%，上月摄像头模组销量增逾3%,Parataxis
汇控现跌0.5%，标普降美国13间银行评级,Causality
美股反弹，建行业绩符预期,Phenomenon-Instance
五粮液捐两千万支援长宁，上市公司一季度净利增3成,Causality
京东第一季度净利润为33亿元，同比增长215%,Supplement
新城发展现资金捞底，现升近6%,Parataxis
小米“超预期”财报发布，市值却蒸发百亿,Contrast
美东汽车升逾3%，创上市新高,Supplement
腾讯执董兼总裁刘炽平减持60万股，套现2.47亿港元,Parataxis
西部水泥涨近9%，创5年高位,Supplement
港股恒指大涨1.31%，美团暴涨6%,Phenomenon-Instance
爱康医疗急涨，创新高,Parataxis
500彩票网第二季净收入达1110万元，同比下滑22.4%,Supplement
吉利汽车涨4.75%，领涨蓝筹,Parataxis
手游股普遍造好，创梦天地升逾2%,Phenomenon-Instance
铅酸电池龙头天能动力否认做空质疑，复牌后一度暴涨近30%,Parataxis
港股有望上试50天线，料于23500点有支持,Inference
出口股受累，申洲国际跌逾3%,Phenomenon-Instance
港股恒指暴涨3.36%，升近800点,Supplement
九毛九餐厅一门店净鲈鱼检出兽药氯霉素，一度跳水跌2%,Causality
海天地悦旅关岛酒店暂停营运，料年度收益同比大减,Inference
中国飞鹤跌近8%，此前高盛下调其下半年每股盈利预测,Parataxis
摩比发展中标多个5G项目，涉逾亿人民币,Supplement
港股恒指大涨1.11%，消费股爆发,Phenomenon-Instance
宏安地产午后遭洗仓，宏安集团跌近3%,Causality
农夫山泉上市前突击分红96亿，却举债逾22亿,Contrast
中远海运港口升近6%，主动买盘60%,Parataxis
港股恒指跌4.61%，香港本地股集体暴跌,Phenomenon-Instance
港股恒指暴跌5.3%，失守23000点,Supplement
桐成控股暴涨逾130%，拟更名为火币科技控股有限公司,Inference
港股恒指大跌5.56%，泻1350点,Parataxis
中芯国际逆市上涨，逾3%,Degree
新东方第四财季净营收8.429亿美元，同比增长20.2%,Supplement
宏安地产午后遭洗仓，暴跌57%,Causality
中国金茂升逾5%，创1个月新高,Supplement
航空股终反弹，国航扬约3%,Phenomenon-Instance
中信股份涨1.38%，领涨蓝筹,Parataxis
北汽接盘，陆正耀将完全退出,Inference
港股恒指跌0.1%，华为概念股走高,Phenomenon-Instance
五菱汽车上升逾倍，创52周新高,Supplement
港股料24000点上落，初步支持位为23500点,Inference
申港控股重挫75%，大股东持股75%,Parataxis
中国外运目标价降至2.8港元，维持买入评级,Parataxis
港股恒指跌0.39%，港股通新贵小米美团走低,Phenomenon-Instance
利润8年不增长，中国旺旺却持续大额回购原因是什么？,Contrast
香港餐饮股向上，大快活上升1.28%,Phenomenon-Instance
受惠ADR赴港上市，港交所大涨近5%,Causality
港股恒指跌幅扩大至1.04%，友邦跌近3%,Phenomenon-Instance
美团点评六连升，现跌近3%,Contrast
生技股逆市受捧，君实生物及基石药业各涨约3%,Phenomenon-Instance
瑞幸收盘再度暴跌近30%，盘中股价跌破2美元,Parataxis
纳指四连升，收复年内失地,Causality
九毛九股价暴跌12%，此前出现食品安全问题,Causality
爱康医疗急涨逾14%，日前获高瓴资本增持,Causality
奶品股受捧，原生态牧业飙升10%,Phenomenon-Instance
伟易达降至跑输大市评级，下调目标价至57港元,Parataxis
中国金融投资管理5月19日回购20万股，耗资3万港币,Causality
澳洲成峰高教6月1日回购63万股，耗资17万港币,Causality
港股表现持续反复，短期仍难突破,Parataxis
美团点评早段再度破顶，现倒跌近1%,Contrast
鸿宝资源股价急升40%，创20年新高,Supplement
美团尾盘涨幅一度扩大至6%，今日盘后公布季度业绩,Parataxis
